date,ticker,name,market,close,change_rate,volume,trading_value
2026-07-31,005380,현대차,KOSPI,373500.0,6.41025641025641,695489,259765141500
2026-07-31,005930,삼성전자,KOSPI,265000.0,28.019323671497588,53185967,14094281255000
2026-07-31,000660,SK하이닉스,KOSPI,1718000.0,29.954614220877456,10088688,17332365984000
2026-07-31,035420,NAVER,KOSPI,208250.0,6.959424756034925,1661203,345945524750
2026-07-31,207940,삼성바이오로직스,KOSPI,1481000.0,-3.0124426981008514,84753,125519193000
2026-07-31,005380,현대차,KOSPI,388000.0,10.541310541310542,1020322,395884936000
2026-07-31,005930,삼성전자,KOSPI,262500.0,26.811594202898554,57883859,15194512987500
2026-07-31,000660,SK하이닉스,KOSPI,1718000.0,29.954614220877456,10347350,17776747300000
2026-07-31,035420,NAVER,KOSPI,208000.0,6.831022085259374,1766586,367449888000
2026-07-31,207940,삼성바이오로직스,KOSPI,1485000.0,-2.75049115913556,90690,134674650000
2026-07-31,005380,현대차,KOSPI,388000.0,10.541310541310542,1081364,419569232000
2026-08-03,005930,삼성전자,KOSPI,241000.0,-8.190476190476192,17331974,4177005734000
2026-08-03,000660,SK하이닉스,KOSPI,1588000.0,-7.566938300349244,3434167,5453457196000
2026-08-03,035420,NAVER,KOSPI,205000.0,-1.4423076923076923,406086,83247630000
2026-08-03,207940,삼성바이오로직스,KOSPI,1426000.0,-3.9730639730639727,25749,36718074000
2026-08-03,005380,현대차,KOSPI,394000.0,1.5463917525773196,575450,226727300000
2026-08-03,005930,삼성전자,KOSPI,239500.0,-8.761904761904763,27393492,6560741334000
2026-08-03,000660,SK하이닉스,KOSPI,1567000.0,-8.78928987194412,5429181,8507526627000
2026-08-03,035420,NAVER,KOSPI,207500.0,-0.2403846153846154,662280,137423100000
2026-08-03,207940,삼성바이오로직스,KOSPI,1423000.0,-4.175084175084176,47113,67041799000
2026-08-03,005380,현대차,KOSPI,393000.0,1.2886597938144329,826836,324946548000
2026-08-03,005930,삼성전자,KOSPI,239500.0,-8.761904761904763,27393580,6560762410000
2026-08-03,000660,SK하이닉스,KOSPI,1567000.0,-8.78928987194412,5429182,8507528194000
2026-08-03,035420,NAVER,KOSPI,207500.0,-0.2403846153846154,662318,137430985000
2026-08-03,207940,삼성바이오로직스,KOSPI,1423000.0,-4.175084175084176,47113,67041799000
2026-08-03,005380,현대차,KOSPI,393000.0,1.2886597938144329,826843,324949299000
2026-08-04,005930,삼성전자,KOSPI,231500.0,-3.3402922755741122,18624951,4311676156500
2026-08-04,000660,SK하이닉스,KOSPI,1531000.0,-2.297383535417996,3328989,5096682159000
2026-08-04,035420,NAVER,KOSPI,223500.0,7.710843373493977,1859329,415560031500
2026-08-04,207940,삼성바이오로직스,KOSPI,1461000.0,2.6704146170063248,29129,42557469000
2026-08-04,005380,현대차,KOSPI,383000.0,-2.5445292620865136,416169,159392727000
2026-08-04,005930,삼성전자,KOSPI,237500.0,-0.8350730688935281,26318870,6250731625000
2026-08-04,000660,SK하이닉스,KOSPI,1560000.0,-0.4467134652201659,4677889,7297506840000
2026-08-04,035420,NAVER,KOSPI,225500.0,8.674698795180722,2158221,486678835500
2026-08-04,207940,삼성바이오로직스,KOSPI,1469000.0,3.232607167955025,43993,64625717000
2026-08-04,005380,현대차,KOSPI,389500.0,-0.8905852417302799,611506,238181587000
2026-08-04,005930,삼성전자,KOSPI,240000.0,0.20876826722338201,29246080,7019059200000
2026-08-04,000660,SK하이닉스,KOSPI,1577000.0,0.6381620931716656,5302250,8361648250000
2026-08-04,035420,NAVER,KOSPI,226500.0,9.156626506024097,2278507,516081835500
2026-08-04,207940,삼성바이오로직스,KOSPI,1476000.0,3.7245256500351367,51711,76325436000
2026-08-04,005380,현대차,KOSPI,392500.0,-0.1272264631043257,680354,267038945000
2026-08-05,005930,삼성전자,KOSPI,248750.0,3.6458333333333335,13924190,3463642262500
2026-08-05,000660,SK하이닉스,KOSPI,1677000.0,6.3411540900443875,2280729,3824782533000
2026-08-05,035420,NAVER,KOSPI,230250.0,1.6556291390728477,744198,171351589500
2026-08-05,207940,삼성바이오로직스,KOSPI,1485000.0,0.6097560975609756,28890,42901650000
2026-08-05,005380,현대차,KOSPI,406000.0,3.4394904458598727,367841,149343446000
2026-08-05,005930,삼성전자,KOSPI,248000.0,3.3333333333333335,20003781,4960937688000
2026-08-05,000660,SK하이닉스,KOSPI,1681000.0,6.594800253646163,3183666,5351742546000
2026-08-05,035420,NAVER,KOSPI,231000.0,1.9867549668874174,987252,228055212000
2026-08-05,207940,삼성바이오로직스,KOSPI,1492000.0,1.084010840108401,45141,67350372000
2026-08-05,005380,현대차,KOSPI,405500.0,3.3121019108280256,487290,197596095000
2026-08-05,005930,삼성전자,KOSPI,246000.0,2.5,22444447,5521333962000
2026-08-05,000660,SK하이닉스,KOSPI,1668000.0,5.7704502219403935,3740705,6239495940000
2026-08-05,035420,NAVER,KOSPI,229000.0,1.1037527593818985,1086692,248852468000
2026-08-05,207940,삼성바이오로직스,KOSPI,1491000.0,1.0162601626016259,51158,76276578000
2026-08-05,005380,현대차,KOSPI,404500.0,3.0573248407643314,545657,220718256500
2026-08-06,005930,삼성전자,KOSPI,231750.0,-5.7926829268292686,15450051,3580549319250
2026-08-06,000660,SK하이닉스,KOSPI,1520000.0,-8.872901678657074,2823157,4291198640000
2026-08-06,035420,NAVER,KOSPI,225000.0,-1.7467248908296942,628539,141421275000
2026-08-06,207940,삼성바이오로직스,KOSPI,1502500.0,0.7712944332662642,21805,32762012500
2026-08-06,005380,현대차,KOSPI,399000.0,-1.3597033374536465,348079,138883521000
2026-08-06,005930,삼성전자,KOSPI,230500.0,-6.300813008130081,22786982,5252399351000
2026-08-06,000660,SK하이닉스,KOSPI,1493000.0,-10.491606714628297,4405315,6577135295000
2026-08-06,035420,NAVER,KOSPI,225000.0,-1.7467248908296942,846765,190522125000
2026-08-06,207940,삼성바이오로직스,KOSPI,1499000.0,0.5365526492287056,38936,58365064000
2026-08-06,005380,현대차,KOSPI,397000.0,-1.8541409147095178,468583,186027451000
2026-08-06,005930,삼성전자,KOSPI,230500.0,-6.300813008130081,26095404,6014990622000
2026-08-06,000660,SK하이닉스,KOSPI,1495000.0,-10.371702637889687,5295745,7917138775000
